Name,Season,Lg,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
Alaa Abdelnaby,Career,NBA,256.0,53.0,12.5,2.4,4.8,0.502,0.0,0.0,0.0,2.4,4.8,0.503,0.502,0.9,1.3,0.701,1.1,2.2,3.3,0.3,0.3,0.3,1.0,1.9,5.7
Kareem Abdul-Jabbar,Career,NBA,1560.0,625.0,36.8,10.2,18.1,0.5589999999999999,0.0,0.0,0.055999999999999994,10.2,18.1,0.56,0.5589999999999999,4.3,6.0,0.721,2.4,7.6,11.2,3.6,0.9,2.6,2.7,3.0,24.6
Mahmoud Abdul-Rauf,Career,NBA,586.0,336.0,26.7,6.0,13.6,0.442,0.8,2.3,0.354,5.2,11.3,0.46,0.47200000000000003,1.8,2.0,0.905,0.4,1.5,1.9,3.5,0.8,0.1,1.6,1.9,14.6
Tariq Abdul-Wahad,Career,NBA,236.0,145.0,20.4,3.1,7.3,0.41700000000000004,0.1,0.3,0.237,3.0,7.0,0.425,0.42200000000000004,1.6,2.2,0.703,1.2,2.1,3.3,1.1,0.8,0.4,1.3,2.1,7.8
Shareef Abdur-Rahim,Career,NBA,830.0,704.0,34.8,6.5,13.9,0.47200000000000003,0.2,0.6,0.297,6.4,13.2,0.48,0.479,4.8,6.0,0.81,2.3,5.3,7.5,2.5,1.0,0.8,2.6,2.8,18.1
lex Abrines,Career,NBA,174.0,16.0,16.0,1.8,4.5,0.387,1.3,3.4,0.368,0.5,1.1,0.44299999999999995,0.525,0.5,0.6,0.88,0.3,1.1,1.4,0.5,0.5,0.1,0.4,1.7,5.3
Alex Acker,Career,NBA,30.0,0.0,7.8,1.1,3.1,0.37,0.3,0.8,0.32,0.9,2.2,0.38799999999999996,0.413,0.2,0.3,0.5,0.3,0.7,1.0,0.5,0.2,0.1,0.4,0.4,2.7
Mark Acres,Career,NBA,375.0,68.0,16.0,1.4,2.7,0.506,0.0,0.0,0.5379999999999999,1.4,2.7,0.505,0.509,0.8,1.2,0.665,1.5,2.5,4.1,0.5,0.4,0.3,0.6,2.5,3.6
Quincy Acy,Career,NBA,337.0,60.0,16.0,1.7,3.9,0.444,0.5,1.6,0.35,1.2,2.3,0.506,0.513,0.9,1.1,0.759,0.9,2.6,3.5,0.6,0.4,0.4,0.6,2.0,4.9
Alvan Adams,Career,NBA,988.0,342.0,27.5,5.8,11.6,0.498,0.0,0.0,0.133,5.8,11.6,0.498,0.498,2.5,3.2,0.7879999999999999,2.0,5.0,7.0,4.1,1.3,0.8,2.6,3.3,14.1
Hassan Adams,Career,NBA,73.0,8.0,7.5,1.1,2.0,0.534,0.0,0.0,0.0,1.1,2.0,0.537,0.534,0.4,0.6,0.643,0.5,0.7,1.2,0.2,0.2,0.1,0.4,0.7,2.5
Jaylen Adams,Career,NBA,34.0,1.0,12.6,1.1,3.2,0.345,0.7,2.2,0.33799999999999997,0.4,1.1,0.361,0.45899999999999996,0.2,0.3,0.778,0.3,1.4,1.8,1.9,0.4,0.1,0.8,1.3,3.2
Jordan Adams,Career,NBA,32.0,0.0,8.2,1.2,2.9,0.402,0.3,0.8,0.385,0.8,2.1,0.409,0.457,0.5,0.9,0.607,0.3,0.7,0.9,0.6,0.6,0.2,0.5,0.8,3.2
Michael Adams,Career,NBA,653.0,510.0,31.3,5.0,12.0,0.415,1.5,4.4,0.332,3.5,7.6,0.462,0.475,3.3,3.9,0.8490000000000001,0.6,2.3,2.9,6.4,1.7,0.1,2.1,1.8,14.7
Steven Adams,Career,NBA,467.0,403.0,26.8,4.0,6.8,0.588,0.0,0.0,0.0,4.0,6.8,0.589,0.588,1.6,2.9,0.5529999999999999,3.5,3.9,7.4,1.0,0.9,1.0,1.4,2.7,9.7
